case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,16,1020425580.313231,20.06492669304598
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,17,1020425580.313231,24.84865856424689
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,18,1020495580.313231,18.191918814070508
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,19,1020505580.313231,21.68212859238094
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,0,1280659171.0134556,33.603131011245765
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,1,1280659171.0134556,35.42130416683507
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,2,1280659171.0134556,34.86173544751156
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,3,1280659171.0134556,31.932371962009945
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,4,1280659171.0134556,35.93591252945258
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,5,1280659171.0134556,34.46190472883602
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,6,1280679171.0134556,35.613746627110174
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,7,1280659171.0134556,33.382850008558506
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,8,1280699171.0134556,32.99730325472417
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,9,1280659171.0134556,31.60807482019898
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,10,1280659171.0134556,34.903221185359975
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,11,1280659171.0134556,33.48965973895483
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,12,1280659171.0134556,29.64407890513502
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,13,1280659171.0134556,33.95543295411364
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,14,1280659171.0134556,33.0062042267928
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,15,1280659171.0134556,35.9956441519574
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,16,1280659171.0134556,33.79130208034646
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,17,1280659171.0134556,36.00823136378311
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,18,1280659171.0134556,32.61009438224906
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,19,1280659171.0134556,34.35200041108073
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,0,1223978908.7854056,31.749584306691435
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,1,1223978908.7854056,33.93822219521295
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,2,1223978908.7854056,33.277316142288036
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,3,1223978908.7854056,29.520292305698852
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,4,1223978908.7854056,34.77388777822885
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,5,1223978908.7854056,32.54691639323352
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,6,1224048908.7854056,34.21037628973388
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,7,1223978908.7854056,30.98181140828057
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,8,1224088908.7854056,29.549794833344816
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,9,1223978908.7854056,28.75955104080058
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,10,1223978908.7854056,32.81635616207084
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,11,1223978908.7854056,31.270741172711688
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,12,1223978908.7854056,26.809997414674353
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,13,1223978908.7854056,31.581271423343143
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,14,1223978908.7854056,30.824826760369294
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,15,1223978908.7854056,34.37646833428282
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,16,1223978908.7854056,31.79638032808553
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,17,1223978908.7854056,34.708167809812736
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,18,1223978908.7854056,30.222448724643982
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,19,1223978908.7854056,32.68222239182418
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,0,1167439618.991661,29.352297987843706
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,1,1167439618.991661,32.47988653413158
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,2,1167439618.991661,30.737914877804002
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,3,1167439618.991661,27.115270173652892
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,4,1167439618.991661,33.45614017068642
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,5,1167439618.991661,30.18273660228065
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,6,1167569618.991661,32.581332890395295
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,7,1167439618.991661,28.281200566801257
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,8,1167589618.991661,26.412918995110395
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,9,1167439618.991661,25.334767286635316
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,10,1167439618.991661,30.38098223594971
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,11,1167439618.991661,28.740041746510105
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,12,1167439618.991661,24.309559255350376
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,13,1167439618.991661,29.025025216569738
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,14,1167439618.991661,28.5228217711405
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,15,1167439618.991661,32.76019034285593
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,16,1167439618.991661,29.465317968157635
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,17,1167439618.991661,33.25989674137658
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,18,1167439618.991661,27.28171420771477
