case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,13,1223972174.7247667,33.13553678732339
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,14,1223972174.7247667,32.437903892103265
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,15,1223972174.7247667,37.572276367769526
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,16,1223972174.7247667,33.66374912686483
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,17,1223972174.7247667,38.49744045752502
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,18,1223972174.7247667,30.930402281134054
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,19,1223972174.7247667,34.601320366436134
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,0,1154000563.5895948,28.072600441166816
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,1,1153930563.5895948,34.47407089627109
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,2,1153930563.5895948,30.453669415801087
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,3,1153990563.5895948,26.433776331567245
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,4,1153930563.5895948,34.65387673491206
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,5,1153930563.5895948,30.81006656755729
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,6,1154120563.5895948,31.577037278685722
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,7,1153970563.5895948,27.791022109743363
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,8,1154270563.5895948,25.384521219167127
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,9,1153980563.5895948,21.382683152237433
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,10,1153930563.5895948,31.118336646522387
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,11,1154010563.5895948,29.53378705488276
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,12,1153990563.5895948,23.660525930222665
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,13,1153930563.5895948,27.775950446287172
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,14,1153970563.5895948,28.084717478596144
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,15,1153930563.5895948,34.878419318893435
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,16,1153930563.5895948,27.720715065032902
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,17,1153930563.5895948,33.99239630870943
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,18,1153950563.5895948,25.07936683832888
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,19,1153960563.5895948,29.48731616124917
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,0,1070321359.3893986,22.784467260011212
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,1,1070161359.3893986,31.069457852342847
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,2,1070141359.3893986,25.218808549933076
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,3,1070461359.3893986,22.92732363048588
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,4,1070131359.3893986,30.116264049131154
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,5,1070161359.3893986,25.60850774938001
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,6,1070361359.3893986,24.429564512046618
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,7,1070301359.3893986,23.897723088052782
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,8,1070601359.3893986,21.145318010769472
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,9,1070381359.3893986,16.765147656267366
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,10,1070151359.3893986,27.18339193434535
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,11,1070331359.3893986,25.781016098376597
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,12,1070401359.3893986,20.295904907533316
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,13,1070281359.3893986,23.968839267606032
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,14,1070361359.3893986,24.226482564446876
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,15,1070151359.3893986,31.35229759618555
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,16,1070171359.3893986,22.5619322264962
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,17,1070131359.3893986,28.286336578464116
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,18,1070381359.3893986,20.03335292049926
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,19,1070281359.3893986,24.727065873231112
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,0,1422003163.1524053,42.6927218530978
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,1,1422003163.1524053,44.24679491031727
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,2,1422003163.1524053,43.73974974770219
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,3,1422003163.1524053,41.84904506157393
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,4,1422003163.1524053,44.52153820037275
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,5,1422003163.1524053,43.64720658421653
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,6,1422003163.1524053,44.35236425587282
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,7,1422003163.1524053,43.066344842783344
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,8,1422003163.1524053,42.86203126335561
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,9,1422003163.1524053,42.7551416662398
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,10,1422003163.1524053,44.146302006660804
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,11,1422003163.1524053,43.088034348882914
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,12,1422003163.1524053,40.74327719195333
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,13,1422003163.1524053,43.68680176029067
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,14,1422003163.1524053,43.253814469205125
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,15,1422003163.1524053,44.74385999808525
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,16,1422003163.1524053,42.96952802993802
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,17,1422003163.1524053,44.60606083026454
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,18,1422003163.1524053,42.72046848825689
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,19,1422003163.1524053,43.26896150234795
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,0,1318773717.3419905,40.330958004829895
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,1,1318773717.3419905,42.246385623497275
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,2,1318773717.3419905,41.66584045091635
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,3,1318773717.3419905,38.39410050812636
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,4,1318773717.3419905,42.83272080392171
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,5,1318773717.3419905,41.31723451876988
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,6,1318773717.3419905,42.52607682010446
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,7,1318773717.3419905,40.224042676605976
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,8,1318793717.3419905,39.82134372690895
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,9,1318773717.3419905,38.33290518581211
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,10,1318773717.3419905,41.7978172945683
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,11,1318773717.3419905,40.51189345446457
